Sender: LSF System <lsfadmin@gauss01>
Subject: Job 255427: <DROSGD> in cluster <cjdx.cluster> Done

Job <DROSGD> was submitted from host <alpha02> by user <xiechenghan> in cluster <cjdx.cluster> at Thu May 18 19:14:45 2023
Job was executed on host(s) <gauss01>, in queue <gauss>, as user <xiechenghan> in cluster <cjdx.cluster> at Thu May 18 19:14:46 2023
</nfsshare/home/xiechenghan> was used as the home directory.
</nfsshare/home/xiechenghan/DRO_trustregion> was used as the working directory.
Started at Thu May 18 19:14:46 2023
Terminated at Fri May 19 02:09:14 2023
Results reported at Fri May 19 02:09:14 2023

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
#/bin/bash
#BSUB -J DROSGD
#BSUB -e /nfsshare/home/xiechenghan/DRO_trustregion/log/NAME_%J.err
#BSUB -o /nfsshare/home/xiechenghan/DRO_trustregion/log/NAME_%J.out
#BSUB -n 1
#BSUB -q gauss
#BSUB -gpu "num=1:mode=exclusive_process"
python my_train.py --optim sgd
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :                                   431194.69 sec.
    Max Memory :                                 2323 MB
    Average Memory :                             2246.59 MB
    Total Requested Memory :                     -
    Delta Memory :                               -
    Max Swap :                                   -
    Max Processes :                              4
    Max Threads :                                154
    Run time :                                   24868 sec.
    Turnaround time :                            24869 sec.

The output (if any) follows:

{
  "eta": 0.08,
  "beta1": 50,
  "beta2": 30,
  "zeta1": 0.25,
  "zeta2": 0.75
}
{
  "qp_rate": 0.3,
  "qp_freq": 1,
  "decay_mode": 1,
  "decay_window": 8000,
  "decay_step": 500.0,
  "decay_radius_step": 0.2,
  "decay_sin_rel_max": 100000000.0,
  "decay_sin_min_scope": 0,
  "decay_sin_max_scope": 37600
}
Using [cuda] for the work
train from scratch!
-----------------------epoch 1-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0030406 MAE:16.93282 [32/165515]
training || loss:0.0001919 MAE:5.37349 [9632/165515]
training || loss:0.0002869 MAE:6.11075 [12832/165515]
training || loss:0.0001633 MAE:4.74180 [16032/165515]
training || loss:0.0002036 MAE:4.74109 [19232/165515]
training || loss:0.0002637 MAE:5.94837 [22432/165515]
training || loss:0.0002300 MAE:4.96234 [25632/165515]
training || loss:0.0004085 MAE:6.84967 [28832/165515]
training || loss:0.0001847 MAE:4.14932 [32032/165515]
training || loss:0.0001630 MAE:4.48556 [35232/165515]
training || loss:0.0004559 MAE:7.13641 [38432/165515]
training || loss:0.0001750 MAE:4.45150 [41632/165515]
training || loss:0.0002092 MAE:4.57113 [44832/165515]
training || loss:0.0002255 MAE:5.18661 [48032/165515]
training || loss:0.0001761 MAE:4.47396 [51232/165515]
training || loss:0.0003916 MAE:6.95685 [54432/165515]
training || loss:0.0002777 MAE:5.82587 [57632/165515]
training || loss:0.0002213 MAE:5.23612 [60832/165515]
training || loss:0.0002332 MAE:5.43530 [64032/165515]
training || loss:0.0002948 MAE:6.66206 [67232/165515]
training || loss:0.0004067 MAE:6.17473 [70432/165515]
training || loss:0.0001918 MAE:4.65121 [73632/165515]
training || loss:0.0002447 MAE:4.60619 [76832/165515]
training || loss:0.0002347 MAE:5.83370 [80032/165515]
training || loss:0.0002819 MAE:5.84167 [83232/165515]
training || loss:0.0002596 MAE:5.15514 [86432/165515]
training || loss:0.0002223 MAE:5.80976 [89632/165515]
training || loss:0.0005026 MAE:5.85349 [92832/165515]
training || loss:0.0002374 MAE:5.43084 [96032/165515]
training || loss:0.0003116 MAE:6.03556 [99232/165515]
training || loss:0.0002124 MAE:5.67939 [102432/165515]
training || loss:0.0001930 MAE:4.89918 [105632/165515]
training || loss:0.0001999 MAE:4.47504 [108832/165515]
training || loss:0.0002058 MAE:4.63169 [112032/165515]
training || loss:0.0002825 MAE:5.29952 [115232/165515]
training || loss:0.0001543 MAE:4.56976 [118432/165515]
training || loss:0.0002155 MAE:5.33535 [121632/165515]
training || loss:0.0002150 MAE:5.28683 [124832/165515]
training || loss:0.0002506 MAE:5.13865 [128032/165515]
training || loss:0.0001600 MAE:4.34028 [131232/165515]
training || loss:0.0002175 MAE:5.07177 [134432/165515]
training || loss:0.0004024 MAE:6.83853 [137632/165515]
training || loss:0.0001678 MAE:4.29936 [140832/165515]
training || loss:0.0002124 MAE:4.98181 [144032/165515]
training || loss:0.0002441 MAE:5.24337 [147232/165515]
training || loss:0.0003085 MAE:6.18388 [150432/165515]
training || loss:0.0001730 MAE:4.44243 [153632/165515]
training || loss:0.0002155 MAE:4.93075 [156832/165515]
training || loss:0.0004235 MAE:7.18502 [160032/165515]
training || loss:0.0001665 MAE:3.67470 [163232/165515]
validate|| MAE:2.30288
-----------------------epoch 10-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0002537 MAE:5.57498 [32/165515]
training || loss:0.0002278 MAE:5.14850 [3232/165515]
training || loss:0.0003034 MAE:6.04617 [6432/165515]
training || loss:0.0002443 MAE:5.24094 [9632/165515]
training || loss:0.0002860 MAE:6.18114 [12832/165515]
training || loss:0.0003376 MAE:6.03064 [16032/165515]
training || loss:0.0002161 MAE:5.00776 [19232/165515]
training || loss:0.0002085 MAE:5.05494 [22432/165515]
training || loss:0.0002852 MAE:5.86139 [25632/165515]
training || loss:0.0002609 MAE:4.80795 [28832/165515]
training || loss:0.0001778 MAE:4.82799 [32032/165515]
training || loss:0.0001715 MAE:4.48359 [35232/165515]
training || loss:0.0003328 MAE:7.26060 [38432/165515]
training || loss:0.0001757 MAE:4.67626 [41632/165515]
training || loss:0.0001691 MAE:4.52543 [44832/165515]
training || loss:0.0003222 MAE:5.92269 [48032/165515]
training || loss:0.0001754 MAE:4.33900 [51232/165515]
training || loss:0.0002685 MAE:5.78374 [54432/165515]
training || loss:0.0002388 MAE:5.49111 [57632/165515]
training || loss:0.0002946 MAE:5.91441 [60832/165515]
training || loss:0.0002028 MAE:4.66558 [64032/165515]
training || loss:0.0002147 MAE:4.87766 [67232/165515]
training || loss:0.0001983 MAE:5.11629 [70432/165515]
training || loss:0.0001991 MAE:4.58573 [73632/165515]
training || loss:0.0001854 MAE:4.65761 [76832/165515]
training || loss:0.0004634 MAE:6.69638 [80032/165515]
training || loss:0.0000970 MAE:3.22760 [83232/165515]
training || loss:0.0003339 MAE:5.43331 [86432/165515]
training || loss:0.0003319 MAE:5.63072 [89632/165515]
training || loss:0.0002954 MAE:6.79273 [92832/165515]
training || loss:0.0003396 MAE:6.55543 [96032/165515]
training || loss:0.0001812 MAE:4.58058 [99232/165515]
training || loss:0.0003013 MAE:5.39156 [102432/165515]
training || loss:0.0002003 MAE:5.21605 [105632/165515]
training || loss:0.0001781 MAE:5.16173 [108832/165515]
training || loss:0.0002414 MAE:5.70318 [112032/165515]
training || loss:0.0002201 MAE:5.09020 [115232/165515]
training || loss:0.0002191 MAE:5.16672 [118432/165515]
training || loss:0.0001718 MAE:4.07016 [121632/165515]
training || loss:0.0001875 MAE:4.86687 [124832/165515]
training || loss:0.0002790 MAE:5.59698 [128032/165515]
training || loss:0.0002830 MAE:5.72317 [131232/165515]
training || loss:0.0002149 MAE:5.08752 [134432/165515]
training || loss:0.0002798 MAE:6.07843 [137632/165515]
training || loss:0.0002623 MAE:4.84691 [140832/165515]
training || loss:0.0003778 MAE:7.45456 [144032/165515]
training || loss:0.0002749 MAE:5.63153 [147232/165515]
training || loss:0.0003696 MAE:6.38023 [150432/165515]
training || loss:0.0002284 MAE:4.99761 [153632/165515]
training || loss:0.0001952 MAE:5.19733 [156832/165515]
training || loss:0.0002335 MAE:5.68227 [160032/165515]
training || loss:0.0001909 MAE:4.71933 [163232/165515]
validate|| MAE:2.30315
-----------------------epoch 11-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0002553 MAE:6.10280 [32/165515]
training || loss:0.0004812 MAE:6.05008 [3232/165515]
training || loss:0.0002155 MAE:5.31201 [6432/165515]
training || loss:0.0002674 MAE:6.09445 [9632/165515]
training || loss:0.0002821 MAE:6.03633 [12832/165515]
training || loss:0.0002572 MAE:5.52427 [16032/165515]
training || loss:0.0002834 MAE:5.84062 [19232/165515]
training || loss:0.0002261 MAE:5.29864 [22432/165515]
training || loss:0.0002644 MAE:5.32241 [25632/165515]
training || loss:0.0001837 MAE:4.11695 [28832/165515]
training || loss:0.0001421 MAE:3.90864 [32032/165515]
training || loss:0.0001953 MAE:4.96319 [35232/165515]
training || loss:0.0002156 MAE:4.79983 [38432/165515]
training || loss:0.0001901 MAE:4.66682 [41632/165515]
training || loss:0.0002259 MAE:5.04729 [44832/165515]
training || loss:0.0003201 MAE:5.14809 [48032/165515]
training || loss:0.0003343 MAE:6.23862 [51232/165515]
training || loss:0.0002938 MAE:6.57175 [54432/165515]
training || loss:0.0002491 MAE:5.78188 [57632/165515]
training || loss:0.0002860 MAE:5.62347 [60832/165515]
training || loss:0.0002508 MAE:5.46524 [64032/165515]
training || loss:0.0002691 MAE:5.71551 [67232/165515]
training || loss:0.0005633 MAE:6.92250 [70432/165515]
training || loss:0.0002522 MAE:5.22466 [73632/165515]
training || loss:0.0002019 MAE:5.31592 [76832/165515]
training || loss:0.0003803 MAE:6.06386 [80032/165515]
training || loss:0.0003514 MAE:6.08062 [83232/165515]
training || loss:0.0002448 MAE:5.81060 [86432/165515]
training || loss:0.0006385 MAE:6.73383 [89632/165515]
training || loss:0.0001580 MAE:4.25097 [92832/165515]
training || loss:0.0001902 MAE:4.38201 [96032/165515]
training || loss:0.0001798 MAE:4.55755 [99232/165515]
training || loss:0.0002122 MAE:4.92300 [102432/165515]
training || loss:0.0002738 MAE:5.89320 [105632/165515]
training || loss:0.0001915 MAE:4.41297 [108832/165515]
training || loss:0.0005337 MAE:6.57643 [112032/165515]
training || loss:0.0002027 MAE:4.92823 [115232/165515]
training || loss:0.0002823 MAE:6.00269 [118432/165515]
training || loss:0.0002057 MAE:4.99521 [121632/165515]
training || loss:0.0002172 MAE:5.04886 [124832/165515]
training || loss:0.0005929 MAE:6.63906 [128032/165515]
training || loss:0.0002368 MAE:4.85072 [131232/165515]
training || loss:0.0002377 MAE:5.31705 [134432/165515]
training || loss:0.0002655 MAE:5.58330 [137632/165515]
training || loss:0.0002746 MAE:5.76711 [140832/165515]
training || loss:0.0002148 MAE:5.20022 [144032/165515]
training || loss:0.0002364 MAE:4.93458 [147232/165515]
training || loss:0.0002289 MAE:5.52081 [150432/165515]
training || loss:0.0002079 MAE:4.96320 [153632/165515]
training || loss:0.0002697 MAE:5.74469 [156832/165515]
training || loss:0.0002737 MAE:5.83961 [160032/165515]
training || loss:0.0003361 MAE:7.30463 [163232/165515]
validate|| MAE:2.30364
-----------------------epoch 12-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0002821 MAE:5.80286 [32/165515]
training || loss:0.0002337 MAE:5.05731 [3232/165515]
training || loss:0.0002367 MAE:5.47836 [6432/165515]
training || loss:0.0002948 MAE:6.04515 [9632/165515]
training || loss:0.0003087 MAE:6.51137 [12832/165515]
training || loss:0.0001884 MAE:4.96612 [16032/165515]
training || loss:0.0001917 MAE:4.43886 [19232/165515]
training || loss:0.0003283 MAE:5.18055 [22432/165515]
training || loss:0.0001577 MAE:4.45369 [25632/165515]
training || loss:0.0005574 MAE:6.31129 [28832/165515]
training || loss:0.0002741 MAE:6.21727 [32032/165515]
training || loss:0.0001703 MAE:4.93125 [35232/165515]
training || loss:0.0001948 MAE:5.10469 [38432/165515]
training || loss:0.0002080 MAE:5.02853 [41632/165515]
training || loss:0.0003378 MAE:6.28997 [44832/165515]
training || loss:0.0005243 MAE:6.77164 [48032/165515]
training || loss:0.0002756 MAE:5.57789 [51232/165515]
training || loss:0.0002170 MAE:5.13481 [54432/165515]
training || loss:0.0002207 MAE:4.25735 [57632/165515]
training || loss:0.0004557 MAE:6.25164 [60832/165515]
training || loss:0.0001608 MAE:4.50855 [64032/165515]
training || loss:0.0002349 MAE:5.41632 [67232/165515]
training || loss:0.0002399 MAE:5.20623 [70432/165515]
training || loss:0.0001868 MAE:4.72280 [73632/165515]
training || loss:0.0001991 MAE:5.18415 [76832/165515]
training || loss:0.0001131 MAE:3.86725 [80032/165515]
training || loss:0.0001759 MAE:4.88766 [83232/165515]
training || loss:0.0002658 MAE:5.73138 [86432/165515]
training || loss:0.0002084 MAE:4.94897 [89632/165515]
training || loss:0.0002071 MAE:5.27904 [92832/165515]
training || loss:0.0001747 MAE:5.08628 [96032/165515]
training || loss:0.0002983 MAE:5.58479 [99232/165515]
training || loss:0.0002612 MAE:5.50823 [102432/165515]
training || loss:0.0001857 MAE:4.95488 [105632/165515]
training || loss:0.0002375 MAE:5.33600 [108832/165515]
training || loss:0.0002407 MAE:5.36409 [112032/165515]
training || loss:0.0001665 MAE:3.95030 [115232/165515]
training || loss:0.0002230 MAE:5.18295 [118432/165515]
training || loss:0.0002518 MAE:5.98310 [121632/165515]
training || loss:0.0002870 MAE:5.47974 [124832/165515]
training || loss:0.0001844 MAE:5.03082 [128032/165515]
training || loss:0.0004377 MAE:7.38259 [131232/165515]
training || loss:0.0002277 MAE:5.18803 [134432/165515]
training || loss:0.0002759 MAE:6.32143 [137632/165515]
training || loss:0.0003018 MAE:6.18578 [140832/165515]
training || loss:0.0001310 MAE:4.35281 [144032/165515]
training || loss:0.0002511 MAE:5.07163 [147232/165515]
training || loss:0.0002317 MAE:5.06281 [150432/165515]
training || loss:0.0002316 MAE:5.33930 [153632/165515]
training || loss:0.0002123 MAE:4.81641 [156832/165515]
training || loss:0.0001807 MAE:4.63009 [160032/165515]
training || loss:0.0001404 MAE:4.69838 [163232/165515]
validate|| MAE:2.30395
-----------------------epoch 13-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0002355 MAE:5.54494 [32/165515]
training || loss:0.0002623 MAE:5.72432 [3232/165515]
training || loss:0.0001367 MAE:3.82932 [6432/165515]
training || loss:0.0003044 MAE:6.66450 [9632/165515]
training || loss:0.0002458 MAE:6.05987 [12832/165515]
training || loss:0.0002119 MAE:5.32144 [16032/165515]
training || loss:0.0002569 MAE:5.69482 [19232/165515]
training || loss:0.0001753 MAE:4.81362 [22432/165515]
training || loss:0.0002806 MAE:6.03922 [25632/165515]
training || loss:0.0001934 MAE:4.88898 [28832/165515]
training || loss:0.0001906 MAE:4.47031 [32032/165515]
training || loss:0.0002053 MAE:4.51217 [35232/165515]
training || loss:0.0002293 MAE:5.31179 [38432/165515]
training || loss:0.0001957 MAE:4.89616 [41632/165515]
training || loss:0.0002189 MAE:5.12651 [44832/165515]
training || loss:0.0002020 MAE:5.03907 [48032/165515]
training || loss:0.0002439 MAE:5.26520 [51232/165515]
training || loss:0.0001737 MAE:4.32142 [54432/165515]
training || loss:0.0002281 MAE:5.30861 [57632/165515]
training || loss:0.0002122 MAE:5.30241 [60832/165515]
training || loss:0.0002092 MAE:4.82201 [64032/165515]
training || loss:0.0004680 MAE:6.61085 [67232/165515]
training || loss:0.0002499 MAE:5.65829 [70432/165515]
training || loss:0.0005087 MAE:5.96838 [73632/165515]
training || loss:0.0001830 MAE:4.80867 [76832/165515]
training || loss:0.0002564 MAE:5.16165 [80032/165515]
training || loss:0.0002137 MAE:5.45731 [83232/165515]
training || loss:0.0002348 MAE:5.19448 [86432/165515]
training || loss:0.0002676 MAE:5.86114 [89632/165515]
training || loss:0.0003021 MAE:6.10582 [92832/165515]
training || loss:0.0002558 MAE:5.60253 [96032/165515]
training || loss:0.0002004 MAE:4.45340 [99232/165515]
training || loss:0.0003243 MAE:6.11043 [102432/165515]
training || loss:0.0002357 MAE:5.73741 [105632/165515]
training || loss:0.0002040 MAE:4.81439 [108832/165515]
training || loss:0.0003620 MAE:5.39928 [112032/165515]
training || loss:0.0002385 MAE:5.66858 [115232/165515]
training || loss:0.0001628 MAE:4.35814 [118432/165515]
training || loss:0.0002169 MAE:4.96681 [121632/165515]
training || loss:0.0001466 MAE:4.25571 [124832/165515]
training || loss:0.0003357 MAE:6.15762 [128032/165515]
training || loss:0.0002237 MAE:5.26986 [131232/165515]
training || loss:0.0003611 MAE:5.79632 [134432/165515]
training || loss:0.0001894 MAE:4.86688 [137632/165515]
training || loss:0.0001541 MAE:4.06191 [140832/165515]
training || loss:0.0002575 MAE:5.97026 [144032/165515]
training || loss:0.0002298 MAE:5.09858 [147232/165515]
training || loss:0.0002813 MAE:5.80694 [150432/165515]
training || loss:0.0002049 MAE:5.19337 [153632/165515]
training || loss:0.0003117 MAE:5.95425 [156832/165515]
training || loss:0.0001547 MAE:4.38815 [160032/165515]
training || loss:0.0002101 MAE:5.12608 [163232/165515]
validate|| MAE:2.30526
-----------------------epoch 14-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0001412 MAE:4.52390 [32/165515]
training || loss:0.0002030 MAE:4.73487 [3232/165515]
training || loss:0.0002534 MAE:5.84188 [6432/165515]
training || loss:0.0001714 MAE:4.86154 [9632/165515]
training || loss:0.0001947 MAE:5.43874 [12832/165515]
training || loss:0.0002470 MAE:5.60155 [16032/165515]
training || loss:0.0001913 MAE:4.69183 [19232/165515]
training || loss:0.0002797 MAE:6.22623 [22432/165515]
training || loss:0.0003534 MAE:6.83146 [25632/165515]
training || loss:0.0002080 MAE:4.97789 [28832/165515]
training || loss:0.0005054 MAE:6.09904 [32032/165515]
training || loss:0.0002379 MAE:5.65367 [35232/165515]
training || loss:0.0001772 MAE:5.00848 [38432/165515]
training || loss:0.0002020 MAE:5.08361 [41632/165515]
training || loss:0.0002412 MAE:5.31287 [44832/165515]
training || loss:0.0002449 MAE:5.72710 [48032/165515]
training || loss:0.0001673 MAE:4.02706 [51232/165515]
training || loss:0.0001797 MAE:4.45538 [54432/165515]
training || loss:0.0002303 MAE:5.15928 [57632/165515]
training || loss:0.0002022 MAE:4.58195 [60832/165515]
training || loss:0.0003312 MAE:5.94103 [64032/165515]
training || loss:0.0001993 MAE:5.00516 [67232/165515]
training || loss:0.0002174 MAE:5.54019 [70432/165515]
training || loss:0.0003342 MAE:6.13009 [73632/165515]
training || loss:0.0001887 MAE:5.04953 [76832/165515]
training || loss:0.0002522 MAE:5.93894 [80032/165515]
training || loss:0.0002363 MAE:4.97719 [83232/165515]
training || loss:0.0002154 MAE:4.82322 [86432/165515]
training || loss:0.0002361 MAE:5.34035 [89632/165515]
training || loss:0.0003379 MAE:6.01511 [92832/165515]
training || loss:0.0004954 MAE:6.95081 [96032/165515]
training || loss:0.0002249 MAE:5.25430 [99232/165515]
training || loss:0.0002297 MAE:5.37374 [102432/165515]
training || loss:0.0002622 MAE:5.19950 [105632/165515]
training || loss:0.0002084 MAE:4.92384 [108832/165515]
training || loss:0.0003437 MAE:6.21583 [112032/165515]
training || loss:0.0002765 MAE:5.98611 [115232/165515]
training || loss:0.0001935 MAE:4.90768 [118432/165515]
training || loss:0.0001742 MAE:4.76108 [121632/165515]
training || loss:0.0002407 MAE:5.29231 [124832/165515]
training || loss:0.0002714 MAE:5.95153 [128032/165515]
training || loss:0.0002081 MAE:4.84582 [131232/165515]
training || loss:0.0001834 MAE:5.01688 [134432/165515]
training || loss:0.0002524 MAE:5.46452 [137632/165515]
training || loss:0.0001877 MAE:4.64760 [140832/165515]
training || loss:0.0002860 MAE:5.50914 [144032/165515]
training || loss:0.0003079 MAE:6.43642 [147232/165515]
training || loss:0.0001582 MAE:4.34086 [150432/165515]
training || loss:0.0002315 MAE:5.20746 [153632/165515]
training || loss:0.0002532 MAE:5.80712 [156832/165515]
training || loss:0.0002756 MAE:5.92467 [160032/165515]
training || loss:0.0001833 MAE:5.15295 [163232/165515]
validate|| MAE:2.30467
-----------------------epoch 15-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0001560 MAE:4.94059 [32/165515]
training || loss:0.0002268 MAE:4.83303 [3232/165515]
training || loss:0.0002910 MAE:5.99803 [6432/165515]
training || loss:0.0002174 MAE:4.90430 [9632/165515]
training || loss:0.0002709 MAE:5.60201 [12832/165515]
training || loss:0.0001977 MAE:4.85161 [16032/165515]
training || loss:0.0001689 MAE:4.32314 [19232/165515]
training || loss:0.0002353 MAE:5.42963 [22432/165515]
training || loss:0.0002453 MAE:5.55183 [25632/165515]
training || loss:0.0002111 MAE:4.73457 [28832/165515]
training || loss:0.0001457 MAE:4.35486 [32032/165515]
training || loss:0.0002037 MAE:5.28385 [35232/165515]
training || loss:0.0003116 MAE:6.51151 [38432/165515]
training || loss:0.0001954 MAE:4.96181 [41632/165515]
training || loss:0.0001361 MAE:3.96424 [44832/165515]
training || loss:0.0001941 MAE:4.60062 [48032/165515]
training || loss:0.0002561 MAE:5.90777 [51232/165515]
training || loss:0.0002385 MAE:5.22838 [54432/165515]
training || loss:0.0002474 MAE:5.57482 [57632/165515]
training || loss:0.0001747 MAE:4.47689 [60832/165515]
training || loss:0.0002436 MAE:5.54816 [64032/165515]
training || loss:0.0002643 MAE:5.90227 [67232/165515]
training || loss:0.0001833 MAE:4.54954 [70432/165515]
training || loss:0.0003021 MAE:6.20974 [73632/165515]
training || loss:0.0005794 MAE:6.82695 [76832/165515]
training || loss:0.0002699 MAE:6.07710 [80032/165515]
training || loss:0.0001865 MAE:5.00672 [83232/165515]
training || loss:0.0002019 MAE:4.82541 [86432/165515]
training || loss:0.0001670 MAE:4.48190 [89632/165515]
training || loss:0.0002234 MAE:5.66667 [92832/165515]
training || loss:0.0002761 MAE:5.27157 [96032/165515]
training || loss:0.0001981 MAE:4.82713 [99232/165515]
training || loss:0.0001682 MAE:4.46260 [102432/165515]
training || loss:0.0001141 MAE:3.90715 [105632/165515]
training || loss:0.0003747 MAE:6.33427 [108832/165515]
training || loss:0.0002449 MAE:4.57206 [112032/165515]
training || loss:0.0002560 MAE:5.92988 [115232/165515]
training || loss:0.0004846 MAE:6.51924 [118432/165515]
training || loss:0.0002601 MAE:5.82669 [121632/165515]
training || loss:0.0002233 MAE:4.59466 [124832/165515]
training || loss:0.0002890 MAE:5.47813 [128032/165515]
training || loss:0.0004671 MAE:5.76534 [131232/165515]
training || loss:0.0002101 MAE:4.59308 [134432/165515]
training || loss:0.0002413 MAE:5.77191 [137632/165515]
training || loss:0.0002547 MAE:5.44594 [140832/165515]
training || loss:0.0002464 MAE:5.55377 [144032/165515]
training || loss:0.0001909 MAE:4.26338 [147232/165515]
training || loss:0.0002403 MAE:5.56552 [150432/165515]
training || loss:0.0002290 MAE:5.13935 [153632/165515]
training || loss:0.0001855 MAE:4.51206 [156832/165515]
training || loss:0.0002471 MAE:4.99033 [160032/165515]
training || loss:0.0002055 MAE:4.54270 [163232/165515]
validate|| MAE:2.30646
-----------------------epoch 16-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0002172 MAE:5.33300 [32/165515]
training || loss:0.0001828 MAE:4.91540 [3232/165515]
training || loss:0.0001671 MAE:4.54972 [6432/165515]
training || loss:0.0001616 MAE:4.64133 [9632/165515]
training || loss:0.0002566 MAE:5.77741 [12832/165515]
training || loss:0.0003556 MAE:6.68346 [16032/165515]
training || loss:0.0001884 MAE:4.93516 [19232/165515]
training || loss:0.0001940 MAE:5.24225 [22432/165515]
training || loss:0.0003357 MAE:7.19005 [25632/165515]
training || loss:0.0001925 MAE:5.06560 [28832/165515]
training || loss:0.0003359 MAE:5.96066 [32032/165515]
training || loss:0.0002490 MAE:5.30153 [35232/165515]
training || loss:0.0002242 MAE:5.44274 [38432/165515]
training || loss:0.0001798 MAE:4.70997 [41632/165515]
training || loss:0.0002442 MAE:5.49288 [44832/165515]
training || loss:0.0002180 MAE:5.26686 [48032/165515]
training || loss:0.0003118 MAE:6.11432 [51232/165515]
training || loss:0.0002581 MAE:5.85657 [54432/165515]
training || loss:0.0002415 MAE:5.27590 [57632/165515]
training || loss:0.0001848 MAE:5.04326 [60832/165515]
training || loss:0.0002207 MAE:5.42356 [64032/165515]
training || loss:0.0001553 MAE:4.50307 [67232/165515]
training || loss:0.0001580 MAE:4.72618 [70432/165515]
training || loss:0.0002935 MAE:6.08696 [73632/165515]
training || loss:0.0002386 MAE:5.25794 [76832/165515]
training || loss:0.0001475 MAE:4.50299 [80032/165515]
training || loss:0.0002593 MAE:5.95265 [83232/165515]
training || loss:0.0003990 MAE:5.46956 [86432/165515]
training || loss:0.0002155 MAE:4.92680 [89632/165515]
training || loss:0.0002350 MAE:5.24177 [92832/165515]
training || loss:0.0002127 MAE:4.89629 [96032/165515]
training || loss:0.0001184 MAE:3.83981 [99232/165515]
training || loss:0.0002623 MAE:5.91923 [102432/165515]
training || loss:0.0001857 MAE:4.34807 [105632/165515]
training || loss:0.0001853 MAE:5.14210 [108832/165515]
training || loss:0.0002165 MAE:5.12456 [112032/165515]
training || loss:0.0001865 MAE:4.84482 [115232/165515]
training || loss:0.0001883 MAE:4.97132 [118432/165515]
training || loss:0.0001894 MAE:4.90635 [121632/165515]
training || loss:0.0002589 MAE:5.85579 [124832/165515]
training || loss:0.0002928 MAE:5.97927 [128032/165515]
training || loss:0.0002592 MAE:5.43111 [131232/165515]
training || loss:0.0002191 MAE:4.72346 [134432/165515]
training || loss:0.0004771 MAE:6.70495 [137632/165515]
training || loss:0.0002445 MAE:5.26975 [140832/165515]
training || loss:0.0007229 MAE:7.53479 [144032/165515]
training || loss:0.0001453 MAE:3.81034 [147232/165515]
training || loss:0.0002321 MAE:5.42930 [150432/165515]
training || loss:0.0001910 MAE:4.53160 [153632/165515]
training || loss:0.0003394 MAE:5.64090 [156832/165515]
training || loss:0.0002052 MAE:4.78435 [160032/165515]
training || loss:0.0002254 MAE:5.88069 [163232/165515]
validate|| MAE:2.30582
-----------------------epoch 17-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0001859 MAE:5.03106 [32/165515]
training || loss:0.0001827 MAE:4.75716 [3232/165515]
training || loss:0.0001949 MAE:5.27517 [6432/165515]
training || loss:0.0001370 MAE:3.78279 [9632/165515]
training || loss:0.0001847 MAE:4.77746 [12832/165515]
training || loss:0.0002552 MAE:5.78794 [16032/165515]
training || loss:0.0002526 MAE:5.78279 [19232/165515]
training || loss:0.0002144 MAE:4.84228 [22432/165515]
training || loss:0.0001800 MAE:4.30297 [25632/165515]
training || loss:0.0003060 MAE:5.83900 [28832/165515]
training || loss:0.0001940 MAE:5.06092 [32032/165515]
training || loss:0.0004392 MAE:5.81219 [35232/165515]
training || loss:0.0002254 MAE:5.43280 [38432/165515]
training || loss:0.0002124 MAE:4.91023 [41632/165515]
training || loss:0.0002122 MAE:4.94892 [44832/165515]
training || loss:0.0002928 MAE:6.01359 [48032/165515]
training || loss:0.0001347 MAE:3.80052 [51232/165515]
training || loss:0.0002727 MAE:5.62381 [54432/165515]
training || loss:0.0001284 MAE:3.99990 [57632/165515]
training || loss:0.0001859 MAE:4.67034 [60832/165515]
training || loss:0.0002893 MAE:5.93716 [64032/165515]
training || loss:0.0002375 MAE:5.06473 [67232/165515]
training || loss:0.0001962 MAE:5.04559 [70432/165515]
training || loss:0.0002207 MAE:4.86907 [73632/165515]
training || loss:0.0002948 MAE:6.66374 [76832/165515]
training || loss:0.0002030 MAE:5.01062 [80032/165515]
training || loss:0.0001903 MAE:4.75912 [83232/165515]
training || loss:0.0001797 MAE:4.41386 [86432/165515]
training || loss:0.0002161 MAE:4.73539 [89632/165515]
training || loss:0.0001598 MAE:4.53971 [92832/165515]
training || loss:0.0001976 MAE:5.04040 [96032/165515]
training || loss:0.0002551 MAE:4.90726 [99232/165515]
training || loss:0.0002721 MAE:5.89976 [102432/165515]
training || loss:0.0002157 MAE:4.92831 [105632/165515]
training || loss:0.0002836 MAE:5.61116 [108832/165515]
training || loss:0.0001400 MAE:3.91102 [112032/165515]
training || loss:0.0001937 MAE:5.02226 [115232/165515]
training || loss:0.0001497 MAE:4.04381 [118432/165515]
training || loss:0.0001528 MAE:4.06925 [121632/165515]
